GID;"COD_CIRCUITO";"TURNO_HORARIO";X;Y
12465;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";573784.280689451;6143073.691736179
12469;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";573889.5724561475;6143322.84318342
12471;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";574052.8506279947;6143081.615486028
12472;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";573761.4742729217;6143522.287772506
12473;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";574415.5667847096;6142771.482113449
12474;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";574559.3965903877;6142502.441680793
12476;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";574444.0830708185;6143220.190650026
12477;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";574506.8756801465;6142760.271591347
12480;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";574090.6534283522;6142563.64830455
12484;"D_DU_RM_CL_03       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577874.4162182538;6142637.935856588
12491;"D_DU_RM_CL_03       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578109.4918994767;6142947.842600011
12492;"D_DU_RM_CL_03       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578214.2923963049;6142742.036951458
12497;"D_DU_RM_CL_03       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577863.6565507512;6142808.074395648
12498;"D_DU_RM_CL_03       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577266.6183064445;6143332.134749048
12499;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577668.000030894;6141850.00010418
12501;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578164.999967357;6142316.99991261
12503;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578248.999967435;6142403.00004069
12504;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577923.000095132;6142042.00010436
12505;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577833.999903049;6141975.9999763
12507;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578081.440521518;6142448.068948029
12508;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578080.9648619118;6142437.128777089
12509;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577736.999966959;6142179.99997649
12511;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577933.999903142;6142388.99991268
12513;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577575.000094808;6141984.9999123
12514;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578320.9193536454;6142015.388007719
12517;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";578087.000095285;6142031.99997635
12521;"D_DU_RM_CL_06       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577647.000094875;6142272.99991257
11663;"E_DU_RM_CL_04       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ";580493.8189515882;6138530.592701001
